sam. 07 juin 2025 07:04:01 CEST, EDF=HP BLUE, Surplus=-332, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 06:58:52 CEST, EDF=HP BLUE, Surplus=-354, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 06:53:45 CEST, EDF=HP BLUE, Surplus=-458, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:48:37 CEST, EDF=HP BLUE, Surplus=-533, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:43:29 CEST, EDF=HP BLUE, Surplus=-539, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:38:23 CEST, EDF=HP BLUE, Surplus=-479, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:33:15 CEST, EDF=HP BLUE, Surplus=-506, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:28:07 CEST, EDF=HP BLUE, Surplus=-429, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:22:59 CEST, EDF=HP BLUE, Surplus=-464, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:17:52 CEST, EDF=HP BLUE, Surplus=-527, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:12:44 CEST, EDF=HP BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:07:36 CEST, EDF=HP BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 06:02:28 CEST, EDF=HP BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:57:20 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:52:12 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:47:04 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:41:56 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:36:48 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:31:41 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:26:33 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 05:21:25 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:16:17 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:11:09 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 05:06:01 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
